Date,Views,Unique Visitors
2020-10-22,908,481
2020-10-23,876,475
2020-10-24,653,350
2020-10-25,612,303
2020-10-26,1215,533
2020-10-27,569,306
2020-10-28,309,197
2020-10-29,357,159
2020-10-30,475,227
2020-10-31,596,394
2020-11-01,210,119
2020-11-02,288,150
2020-11-03,279,154
2020-11-04,317,146
2020-11-05,248,115
2020-11-06,146,82
2020-11-07,270,153
2020-11-08,243,150
2020-11-09,161,76
2020-11-10,132,60
2020-11-11,193,120
2020-11-12,127,65
2020-11-13,14,9
2020-11-14,20,12
2020-11-15,154,88
2020-11-16,36,10
2020-11-17,79,54
2020-11-18,70,48
2020-11-19,60,42
2020-11-20,73,41
2020-11-21,62,49
2020-11-22,64,37
2020-11-23,88,49
2020-11-24,56,36
2020-11-25,40,25
2020-11-26,26,20
2020-11-27,138,65
2020-11-28,95,55
2020-11-29,126,61
2020-11-30,65,43
